,index,isin,year,Return_n,Return_n+1,country,new_industry,exchange,fte_category,cap_category,businessClass,Total Revenue,Total Revenue : Annual Variation,Net Income,Net Income : Annual Variation,EBITDA,EBITDA : Annual Variation,Basic EPS,Basic EPS : Annual Variation,Operating Cash Flow,Operating Cash Flow : Annual Variation,Free Cash Flow,Free Cash Flow : Annual Variation,Total Assets,Total Assets : Annual Variation,Long Term Debt,Long Term Debt : Annual Variation,Total Liabilities Net Minority Interest,Total Liabilities Net Minority Interest : Annual Variation,Stockholders Equity,Stockholders Equity : Annual Variation
DE000A3H2101_2021,38,DE000A3H2101,2021,-0.3022320369913205,-0.4151600581488534,5.0,10.0,9.0,2.0,2.0,0.0,12166000.0,0.3045249839159339,-2699000.0,-0.6940603037859896,-520000.0,-0.9037215330494353,-0.549132,-0.7864427226557805,-2470000.0,-0.327891156462585,-2993000.0,-0.2680361946686231,22954000.0,0.1648228965797219,938000.0,-0.6365749709414955,10178000.0,0.0811557255151901,12776000.0,0.2413525068013991
SE0015407382_2021,40,SE0015407382,2021,-0.0966770549809424,-0.33041012546847304,15.0,16.0,29.0,2.0,2.0,5.0,32527200.0,0.5438107251794069,41687377.777777776,0.9273537993671146,74727200.0,1.221226709223306,0.5404444444444445,0.8095238095238096,27193866.666666668,-14.872534349068154,26661066.666666668,-14.6007345939328,657433866.6666666,1.1741490147569662,317266044.4444444,2.398884129653507,436920177.7777778,1.760514053464211,187028355.55555555,0.3023775037757805
FR0010557264_2021,42,FR0010557264,2021,-0.7013888766320764,-0.2690196354673503,4.0,11.0,27.0,2.0,2.0,7.0,1607000.0,0.0151610865445356,-14463000.0,-0.0386839481555334,-11411000.0,-0.1714949538953024,-0.3,-0.1176470588235295,-17178000.0,0.2714084819776478,-17742000.0,0.2781499891938621,21271000.0,-0.2835152250067367,6688000.0,6.130063965884862,44469000.0,-0.0968377439730284,-23198000.0,0.186659164151619
FR0004040608_2021,44,FR0004040608,2021,-0.269236141200069,0.09181636956453429,4.0,6.0,27.0,2.0,2.0,0.0,64324000.0,-0.0688611919341063,28038000.0,-0.2010372438947938,25679883.964855064,0.0917167676826372,0.48,-0.2,34050000.0,0.3993342374553076,34050000.0,0.3993342374553076,185199000.0,0.0701618541867708,0.0,0.0,25175000.0,0.3231893198780616,160024000.0,0.0389077523355688
NO0003021909_2022,47,NO0003021909,2022,-0.14385619630781424,0.4966885896617659,10.0,8.0,26.0,3.0,2.0,1.0,149708194.61890498,-0.414526405900895,23739536.02768725,-0.6443449560987935,46447124.548720606,-0.5303713914211211,0.0,0.0,-4665548.1672127405,-1.0711821702829114,-6525565.910947533,-1.104072601037518,344080268.4398689,-0.052567101444473,0.0,0.0,253894134.9050886,-0.0035865832003532,89518898.8343596,-0.1604482837592699
NO0003021909_2021,48,NO0003021909,2021,0.26442029034829706,-0.14385619630781424,10.0,8.0,26.0,3.0,2.0,1.0,255704435.05529547,0.5114042638914993,66748768.04019571,0.8454544129861424,98901820.92882302,0.5714343535283469,0.0,0.0,65543775.19917782,-0.2779123453695791,62702054.58394456,-0.2802016349817937,363171121.6324237,0.1914378522558494,0.0,0.0,254808025.08718148,0.1667227073269811,106627021.42424215,0.357916332932106
FR0012616852_2021,50,FR0012616852,2021,1.1658983655956259,-0.15064395989641963,4.0,9.0,27.0,2.0,2.0,7.0,675000.0,1.3831629674902788,-5822000.0,2.0869565217391304,-5695000.0,2.055257510729614,-0.23,1.875,-6692000.0,10.17195325542571,-6858000.0,8.180722891566266,21832000.0,1.1220839813374806,1653000.0,0.0,11155000.0,2.0486471713582945,10677000.0,0.6106501734801629
FR0012333284_2021,52,FR0012333284,2021,-0.4950166473234691,-0.6360606171472217,4.0,9.0,27.0,2.0,2.0,7.0,0.0,-0.0023507352806735,-41357000.0,0.101355489867114,-42108000.0,0.1081344245901207,-2.47,-0.0572519083969465,-45048000.0,0.5105120209234484,-45095000.0,0.4678884150906546,110365000.0,0.5479396336503127,53445000.0,0.5727443940909893,74753000.0,0.3999213453687404,35612000.0,0.9894972067039106
FR001400AHX6_2021,54,FR001400AHX6,2021,-0.17613899597392602,2.6493560497953923,4.0,11.0,27.0,2.0,2.0,0.0,0.0,0.7215540765296423,257868.0,-3.8877889267156425,-102624.0,0.125744561819199,0.128518,-3.887785367607406,13053705.948848112,0.2822200586365004,10769071.367883058,0.4609002781958741,2713363.0,0.1403876042623692,0.0,0.0,94261.0,4.207790055248619,2619102.0,0.1092089983457802
NL0011540547_2022,56,NL0011540547,2022,0.2274913227953373,0.31847203466076784,9.0,8.0,0.0,4.0,4.0,1.0,7858000000.0,0.0701348222797221,1867000000.0,0.5166531275385865,1554859034.0200298,0.6799125779787997,1.96,0.6198347107438017,17288888.888888888,-0.0302083333333333,13733333.333333332,0.2897912589693412,379581000000.0,-0.048938521170696,0.0,0.0,356766000000.0,-0.0539571588432145,22813000000.0,0.0372374283895607
NL0011540547_2021,57,NL0011540547,2021,0.3787084170415238,0.2274913227953373,9.0,8.0,0.0,4.0,4.0,1.0,7343000000.0,-0.0436311539463401,1231000000.0,-28.355555555555554,1623956256.815623,0.6444491543639737,1.21,-8.117647058823529,17288888.888888888,-0.0302083333333333,13733333.333333332,0.2897912589693412,399113000000.0,0.0088215295875113,0.0,0.0,377114000000.0,0.0066224812016026,21994000000.0,0.0478323010957598
DE000A3CNK42_2022,59,DE000A3CNK42,2022,-0.36747181918709804,-0.4203403966577548,5.0,15.0,1.0,4.0,4.0,9.0,1731700000.0,0.4845263609087012,-124400000.0,1.076794657762938,-94600000.0,1.15,-0.77,1.1903935596740014,-110100000.0,16.203125,-138200000.0,4.931330472103005,1184300000.0,1.5903324584426948,0.0,0.0,600700000.0,0.495394573064476,583600000.0,9.515315315315314
SE0007897079_2022,61,SE0007897079,2022,-0.266515454898133,0.32290547774330963,15.0,4.0,29.0,4.0,2.0,0.0,1252977777.7777777,0.0698239222829386,53777777.777777776,0.010016694490818,264444444.44444445,0.0806393025790047,0.5093333333333334,0.0159574468085107,251644444.44444445,-0.014275766016713,237955555.55555555,-0.0233491426486683,1676800000.0,0.0840756278374806,64177777.777777776,-0.6095186587344511,1164977777.7777777,0.0834986772486772,511822222.2222222,0.0853911404335532
SE0007897079_2021,62,SE0007897079,2021,0.009070529177163,-0.266515454898133,15.0,4.0,29.0,4.0,2.0,0.0,1171200000.0,0.0892857142857142,53244444.44444445,0.3897911832946635,244711111.1111111,0.1087394281111558,0.5013333333333333,0.3789731051344743,255288888.8888889,0.139230464101547,243644444.44444445,0.1473419840937631,1546755555.5555556,0.0534568349679137,164355555.55555555,-0.0339602925809822,1075200000.0,0.0329632792485055,471555555.5555556,0.103369384359401
FR0000064602_2021,64,FR0000064602,2021,-0.1355741793453889,-0.1566439407074681,4.0,17.0,27.0,1.0,2.0,2.0,3870000.0,-0.1995863495346432,8093000.0,-3.1518213241159265,8922000.0,-6.5278810408921935,0.055,-3.1153846153846154,-19575000.0,-31.115384615384617,-20416000.0,-38.59852670349908,165627000.0,-0.1255035718622787,0.0,0.0,8612000.0,-0.7910063824107555,148061000.0,0.0618563355231073
DE000A0KFKB3_2021,66,DE000A0KFKB3,2021,-0.5785238211179414,-0.5205051439678877,5.0,16.0,9.0,2.0,2.0,5.0,192746000.0,0.539726158712914,11845000.0,-0.2850244461882055,47397000.0,0.0101231831550232,0.37,-0.2745098039215686,99551000.0,-4.048568366253254,94790000.0,-3.7177590458168472,929466000.0,0.0782830831555464,489334000.0,0.2446939481502584,668829000.0,0.0877284569822698,247390000.0,0.0474150158134729
IT0001207098_2022,68,IT0001207098,2022,-0.12614561171013453,0.30990918677547225,7.0,21.0,21.0,4.0,3.0,4.0,5026999000.0,0.3094597611296938,279725000.0,-0.1071913031543939,1180189000.0,0.0454049409617956,1.31348,-0.1071928655908862,879042000.0,0.1573636541978431,-171261000.0,-0.2276669146993167,11338533000.0,0.0667658868483489,4648875000.0,-0.0217528539113051,8583290000.0,0.0580370999397717,2291268000.0,0.078766141345621
IT0001207098_2021,69,IT0001207098,2021,-0.1612370625734503,-0.12614561171013453,7.0,21.0,21.0,4.0,3.0,4.0,3838987000.0,0.1915163377027586,313309000.0,0.0995304406418013,1128930000.0,0.0857528657862771,1.47118,0.0995284041225402,759521000.0,-0.0813083162582764,-221745000.0,1.7639697358744562,10628886000.0,0.098750270581398,4752250000.0,0.1605266833833629,8112466000.0,0.1036834134292271,2123971000.0,0.0809953436151441
BE0003764785_2022,71,BE0003764785,2022,0.10819945177429499,0.18547738809045905,1.0,13.0,2.0,4.0,3.0,4.0,4401420000.0,0.0206487144554914,708655000.0,0.7419631576101118,1286540000.0,0.3183031972341598,21.39,0.743276283618582,716635000.0,-0.0832880287050125,202105000.0,-0.5632305873657686,17676517000.0,0.0257349463756394,2384721000.0,0.2197867962195996,11674061000.0,-0.0270013628910893,4633633000.0,0.1709289937299544
BE0003764785_2021,72,BE0003764785,2021,0.0708826956892275,0.10819945177429499,1.0,13.0,2.0,4.0,3.0,4.0,4312375000.0,0.1028386931781855,406814000.0,0.7703652449399672,975906000.0,0.3654687814815644,12.27,0.7705627705627706,781745000.0,0.3315726539984057,462727000.0,0.3202438899128638,17233026000.0,0.0618829158929366,1955031000.0,-0.3109908780867912,11998024000.0,0.0481758954097623,3957228000.0,0.1109449141193889
NL0000313286_2022,74,NL0000313286,2022,-0.045678692846701424,0.14851869296637424,9.0,4.0,0.0,3.0,2.0,8.0,1422776000.0,0.1341957660653871,54681000.0,0.0134368744903254,84918000.0,-0.1834650666358968,1.85,0.0164835164835164,72658000.0,-2.9976355438249205,72658000.0,-2.646080652469416,860755000.0,-0.0069246628524488,120133000.0,0.1543702194718837,447036000.0,-0.1078959814648884,411883000.0,0.1307359283590612
NL0000313286_2021,75,NL0000313286,2021,-0.11808416839837041,-0.045678692846701424,9.0,4.0,0.0,3.0,2.0,8.0,1254436000.0,0.7733953099111631,53956000.0,0.9957832439430369,103998000.0,1.10143668289923,1.82,0.6758747697974217,-36372000.0,-2.040121250250221,-44140000.0,-2.4901590088113164,866757000.0,0.2304443617924381,104068000.0,-0.2370549034845274,501103000.0,0.2075935029882398,364261000.0,0.2636631073552165
ES0167050915_2021,77,ES0167050915,2021,-0.38338428233827,0.3889274971526703,14.0,13.0,20.0,4.0,3.0,4.0,27836658000.0,-0.0500956894384541,3045413000.0,4.305551345371556,805648000.0,-0.6021178946890151,9.939629,5.407880698085365,203141000.0,-0.8220696022030537,-183066000.0,-1.6902238459885306,35664345000.0,-0.0447149386667066,8657703000.0,0.0445464012042737,28636142000.0,-0.1337557024719088,6334304000.0,0.7951939064962552
FR0000076655_2021,79,FR0000076655,2021,0.03811324397045318,0.2918217730986187,4.0,3.0,27.0,3.0,2.0,3.0,445910000.0,0.0166828927958266,-6379000.0,-0.6650212676574069,47193000.0,0.7294415127528584,-0.32,-0.6631578947368421,16592000.0,-0.32453997720241,-3903000.0,-2.8488867835149216,598304000.0,0.0747274579084359,164127000.0,0.1393989461772893,484728000.0,0.1001118885562745,113014000.0,-0.0238311177908493
NL0000238145_2021,81,NL0000238145,2021,-0.09155362683583401,-0.5316203874652408,5.0,2.0,9.0,2.0,2.0,6.0,111593000.0,0.1011308020208399,1725000.0,-0.5292030567685589,4456000.0,-0.3211456429006703,0.08,-0.5294117647058824,2208000.0,-0.3309090909090909,1909000.0,-0.240350179068842,46352000.0,-0.0509612825290227,0.0,0.0,29596000.0,0.0568867621326286,15798000.0,-0.1972968853208678
BE0974269012_2021,83,BE0974269012,2021,-0.4387985609352984,-0.07115676719052652,1.0,17.0,27.0,1.0,2.0,5.0,926000.0,0.0043383947939262,-967000.0,-0.2868731563421829,-657000.0,-0.4930555555555556,-0.007,-0.3,-1536000.0,-0.3112107623318386,-1556000.0,-0.303179579041648,74461000.0,-0.0055690590026443,0.0,0.0,19229000.0,-0.0348825537040754,49775000.0,0.0049262078294401
DE0005214506_2021,85,DE0005214506,2021,-0.0985004572852089,-0.07042421605048582,5.0,6.0,8.0,3.0,2.0,3.0,170080000.0,0.1520615588866836,1772000.0,-1.7209113100081368,10331000.0,0.339253305677988,0.127102,-1.723935046220617,-3446000.0,-1.392572339940761,-6698000.0,-2.388762181215012,111836000.0,0.1713274262133685,13360000.0,5.703462117410938,50485000.0,0.3802012138443873,56347000.0,0.0631108260065657
AT000ADDIKO0_2022,87,AT000ADDIKO0,2022,0.09338582850355717,0.31569511845805387,0.0,7.0,32.0,3.0,2.0,1.0,254700000.0,0.0278450363196125,25700000.0,0.8897058823529411,90884082.59829748,0.1833333252124502,0.0,0.0,211400000.0,-0.1825212683681361,203500000.0,-0.1781098546042003,5996400000.0,0.0263765982575355,0.0,0.0,5250200000.0,0.0422853966489319,746200000.0,-0.0731586138367904
