isin,year,Return_n,Return_n+1,country,new_industry,exchange,fte_category,cap_category,businessClass,Total Revenue,Total Revenue : Annual Variation,Net Income,Net Income : Annual Variation,EBITDA,EBITDA : Annual Variation,Basic EPS,Basic EPS : Annual Variation,Operating Cash Flow,Operating Cash Flow : Annual Variation,Free Cash Flow,Free Cash Flow : Annual Variation,Total Assets,Total Assets : Annual Variation,Long Term Debt,Long Term Debt : Annual Variation,Total Liabilities Net Minority Interest,Total Liabilities Net Minority Interest : Annual Variation,Stockholders Equity,Stockholders Equity : Annual Variation
IE0004906560,2021,-0.0487140452210617,-0.2565159638725722,6.0,4.0,15.0,4.0,4.0,3.0,7350600000.0,0.0571231340063853,763000000.0,0.37700776033207,1170400000.0,0.1917320028510335,0.0,0.0,654000000.0,-0.0270752752157096,356000000.0,-0.470395715560845,11395400000.0,0.2067435481992142,3118000000.0,0.2443131933913321,5794200000.0,0.2102514829977441,5601200000.0,0.2031360756094941
FI0009000202,2023,-0.101961483886485,,3.0,4.0,28.0,4.0,3.0,3.0,11783800000.0,-0.0021339656194427,495600000.0,-0.1874077717658632,1250400000.0,-0.0531576556110858,1.25,-0.1830065359477124,1049500000.0,0.1467438811188811,1049500000.0,0.1467438811188811,7754300000.0,0.0375033449290875,690700000.0,1.8134419551934824,4995900000.0,0.0558138551925271,2758400000.0,0.0059076653781635
FI0009000202,2022,-0.3317379572670939,-0.101961483886485,3.0,4.0,28.0,4.0,3.0,3.0,11809000000.0,0.045025751756606,609900000.0,0.0666316894018887,1320600000.0,0.0348718752448867,1.53,0.0625,915200000.0,-0.2055555555555555,915200000.0,0.0028490028490028,7474000000.0,0.0729256388171116,245500000.0,0.189437984496124,4731800000.0,0.0665614786430744,2742200000.0,0.0840877643803123
FI0009000202,2021,0.3215506311829844,-0.3317379572670939,3.0,4.0,28.0,4.0,3.0,3.0,11300200000.0,0.0591422037266149,571800000.0,0.3193354868481772,1276100000.0,0.1462319231114704,1.44,0.3211009174311925,1152000000.0,-0.0003471017007983,912600000.0,-0.0378492356352134,6966000000.0,0.0487962781734142,206400000.0,-0.4949840959138732,4436500000.0,-0.0036158648879306,2529500000.0,0.1553921344722057
PLKETY000011,2023,0.7691651053998492,,12.0,1.0,33.0,4.0,2.0,3.0,1206446042.1675606,-0.12009411780575,124624791.93637878,-0.2053184463614975,198676021.82356206,-0.1608244181186846,0.0,0.0,265457739.96670985,0.5640599545600663,192453301.27612355,0.9605523146959702,845043693.3604587,-0.0593961673566824,102173108.93286481,-0.4825133393673211,408020621.4166821,-0.0923721958266073,436909330.4975033,-0.0263267035721369
PLKETY000011,2022,-0.1924145683974763,0.7691651053998492,12.0,1.0,33.0,4.0,2.0,3.0,1371108054.3739598,0.2899985318347172,156823562.0491955,0.1407881770085329,236751433.3271685,0.1390240864156886,0.0,0.0,169723506.56556317,0.9895664804893184,98162798.22452377,1.8216863146422828,898405539.1159608,0.1018845615661723,197441048.64065102,1.0250988184467424,449546190.12391347,0.1065141586414259,448722720.54743856,0.0976057317673137
PLKETY000011,2021,0.332178355853566,-0.1924145683974763,12.0,1.0,33.0,4.0,2.0,3.0,1062875670.427224,0.3011980166075158,137469484.00221935,0.3822972190775511,207854632.88329944,0.3470591848690016,0.0,0.0,85306778.25041613,-0.4203716502780308,34788699.833549105,-0.6935599156934418,815335444.7937859,0.2208226429306265,97496994.63658221,-0.0417032125539099,406272424.6347328,0.3498019890195307,408819585.72221196,0.1148074040172126
FR0004029411,2022,0.3910447701708884,,4.0,19.0,27.0,3.0,2.0,6.0,351888000.0,0.2168223911254348,3827000.0,-0.0384422110552763,25153000.0,0.1051891559383101,0.24,-0.04,19862000.0,0.5542687221222318,16948000.0,0.7041729512317748,354231000.0,0.1178182047681408,68989000.0,0.7558027079303675,308194000.0,0.1365887659178999,40301000.0,0.0361752455391577
FR0004029411,2021,0.103333314259847,0.3910447701708884,4.0,19.0,27.0,3.0,2.0,6.0,289186000.0,0.1083023221054164,3980000.0,-9.343815513626836,22759000.0,0.097453949271868,0.25,-9.31946755407654,12779000.0,-0.753980324586566,9945000.0,-0.792271540469974,316895000.0,-0.0052266449020592,39292000.0,-0.1280651532299225,271157000.0,-0.0124051674843296,38894000.0,-0.0431038724597746
BE0003880979,2022,-0.0630631095044708,,1.0,20.0,2.0,2.0,2.0,6.0,23971000.0,0.355135960201255,1640000.0,1.5114854517611025,3038000.0,0.1268545994065281,0.0728,1.510344827586207,1852000.0,-0.2088850918410935,1326000.0,-0.0675105485232067,39737000.0,0.0954074319109052,874000.0,0.7656565656565657,10205000.0,0.217199427480916,29532000.0,0.0587982217123189
